account,risk_score,is_laundering,community_size,anomaly_score
21575_809FEA490,0.2366659,0,3,0.45241916463616555
1853_8010920B0,0.236665,0,1,0.38877690630203465
24811_80D9E9E80,0.2366329,0,3,0.3856847732144705
1547_804DE6020,0.23662879,0,889,0.47532038541316823
2439_802B9AF40,0.23662505,0,3,0.40794435060103573
9328_8075065E0,0.23662291,0,2,0.4529779036530401
11642_80539A260,0.2366226,0,2,0.405245231135436
10057_8044FE700,0.23662099,0,2,0.38501712004108857
111764_80B7C7030,0.2366203,0,1,0.3093098474056463
248290_812C7FEE0,0.23661593,0,2,0.38115283530989963
15980_808ED13C0,0.23661047,0,4,0.4848410608331597
14663_801EF22D0,0.23660602,0,7,0.4242973971848086
113798_80FBD5550,0.23659772,0,1,0.31747517559488764
908_8015CEBA0,0.23659253,0,2,0.3987084296708192
12561_8021FDCA0,0.23658042,0,1,0.34032110120494385
26442_80BFF4DE0,0.23657477,0,4,0.355164438400372
10404_808FF9F60,0.236565,0,1,0.3170267647039471
16_8055EAA20,0.23655564,0,1,0.30830098197065176
9665_807E44030,0.23655564,0,1,0.30830098197065176
12_804D88480,0.23655,0,2,0.5065137922244645
14650_80293FEA0,0.2365492,0,889,0.5807851113132299
4_80309CA60,0.23654877,0,1,0.307278176801591
22736_8081F4FB0,0.23654018,0,1,0.3170267647039471
215687_813900F90,0.23653553,0,3,0.33838627472295396
18475_8038BCC10,0.23651305,0,2,0.38134491990625163
115359_808F21790,0.23650198,0,2,0.386706010251676
23344_8124E6B50,0.23650005,0,3,0.41397309541501015
219570_80738BCA0,0.23649856,0,1,0.3753982395276206
13516_80E6B1C80,0.23649059,0,1,0.3075322450286877
41213_81264F6D0,0.2364835,0,1,0.3117690891877694
121580_8083AC480,0.2364835,0,1,0.3117690891877694
13858_80B6B8740,0.2364835,0,1,0.3117690891877694
12735_80CA34550,0.2364835,0,1,0.3117690891877694
13858_80236C780,0.23648126,0,1,0.3166794809736838
11_8001B4DF0,0.23648065,0,2,0.4056245519522906
210690_80B19E2B0,0.23648033,0,1,0.3340620523725464
26_80828DDB0,0.23647307,0,69,0.46295283131224235
238151_81280B0A0,0.23646668,0,1,0.3083859058552269
25309_813F0F440,0.2364628,0,3,0.4439515696897547
795_8007EC4D0,0.23646113,0,2,0.4292784670265119
12_800117590,0.23645686,1,2,0.4745475774930309
30974_80DE54E60,0.2364365,0,3,0.4855764363677006
8798_803483920,0.2364313,0,3,0.531084723820084
112637_804FBD5F0,0.23642668,0,1,0.4601593769857288
1674_80048A490,0.23641917,0,6,0.5302267554073673
21940_803643FC0,0.23640184,0,1,0.3088459151067442
8623_808120440,0.23637544,0,1,0.31097739637826805
18324_806B5A5D0,0.23637366,0,1496,0.5149281588193236
222773_8087642F0,0.23636684,0,1,0.33561241862008984
17400_8099094F0,0.23636602,0,1,0.3128252188583478
113060_8148453C0,0.23636167,0,2,0.37791853212835885
18067_802F8DA80,0.23635595,0,1,0.38373679496698565
45951_8126E6180,0.23634456,0,1,0.3075322450286877
11157_80135CD60,0.23633783,0,1,0.3135045865878732
11974_80FF3DD80,0.2363297,0,2,0.40616301533300536
14663_8069E4C90,0.23632777,0,1,0.3083859058552269
287_8062D3D50,0.2363251,0,1,0.527020699688904
11128_804486C40,0.2363251,0,1,0.527020699688904
218502_806B0FA60,0.2363251,0,1,0.5313849443193818
31820_8124AEC50,0.2363251,0,1,0.5313849443193818
16927_8071EF320,0.2363251,0,1,0.5313849443193818
25075_802E0DFF0,0.2363251,0,1,0.527020699688904
16_804CC8B50,0.2363251,0,1,0.527020699688904
71_805FE2AC0,0.2363251,0,1,0.527020699688904
16_80608CEA0,0.2363251,0,1,0.5306663750404451
9209_8036D8C60,0.2363251,0,1,0.527020699688904
9665_80403F450,0.2363251,0,1,0.527020699688904
212818_804AA2CC0,0.23630412,0,1,0.43432670575446
19723_80F005940,0.23630342,0,1,0.32468310418499785
18015_8043201C0,0.23630169,0,1,0.40115917937394907
22828_801928280,0.2362782,0,4,0.43318194389398973
123773_80AFD4560,0.2362765,0,1,0.3075322450286877
217096_8065A0350,0.23626171,0,2,0.6596499014637442
18428_80687AF70,0.23624289,0,4,0.39279300148899154
210829_810F6A330,0.23623903,0,2,0.38568148830181115
8888_8085B48D0,0.23622629,0,1,0.3084690416349169
1412_8012F6CC0,0.2362236,0,3,0.5801763907319637
1_800157300,0.236214,0,1,0.31447584253940275
1665_80199A5D0,0.236214,0,1,0.31447584253940275
1412_800C14D80,0.23618095,0,1,0.30867771739778405
17327_80BDAC810,0.23618095,0,1,0.30867771739778405
10_800FB77E0,0.23618095,0,1,0.30867771739778405
24811_8020EB870,0.23618095,0,1,0.30867771739778405
22_8016756C0,0.23617779,0,1,0.3324459919654673
2843_80E1466B0,0.23615006,0,3,0.420594991573795
795_807A81780,0.23614782,0,3,0.4218041690975285
25536_811AF9B60,0.23614183,0,1,0.3074606236827407
218989_808A816A0,0.23614183,0,1,0.3074606236827407
12_8058F88D0,0.2361323,0,1,0.576781122659189
1244_8111B3AF0,0.23612481,0,1,0.3080462786503735
22828_80176BFB0,0.23611782,0,1,0.32472105655706085
23_802D97840,0.23610961,0,2,0.3800740215589204
17401_814367CC0,0.23609893,0,1,0.3077148427632307
25075_805CF17E0,0.23609869,0,3,0.49586755243351405
11405_8034AB9F0,0.23609866,0,1,0.3111091516049514
1362_800A6ABF0,0.23606974,0,1,0.3891405256428717
23885_810553E30,0.23606315,0,2,0.3779046225305511
114202_805F10E30,0.2360631,0,1,0.3085170132817765
10_802AB2460,0.23604938,0,1496,0.6945019223147131
210292_803DA32C0,0.23604923,0,2,0.38178473621295583
1601_800857910,0.23604803,0,1,0.3136809335886748
113865_806A54870,0.23604105,0,2,0.37864050373757785
19023_80942A8A0,0.23603886,0,1,0.32007655567388954
21575_802B97890,0.23603308,0,1,0.3090638318439348
23842_80D3AD810,0.23603308,0,1,0.3090638318439348
27444_805BAB020,0.23603308,0,1,0.3090638318439348
147497_813451CD0,0.23603308,0,1,0.3090638318439348
25749_8121BA410,0.23603308,0,1,0.3090638318439348
25866_802579EE0,0.23603031,0,6,0.5757540797684374
218885_8103B77D0,0.23602861,0,3,0.3973837303863004
10656_809AD46D0,0.23602723,0,1,0.5506197546739154
4_8035E7750,0.23602471,0,1,0.3147297146501305
1047_809BE5030,0.23600917,0,1,0.3103216886433009
16333_80B32B070,0.23599955,0,1,0.3077148427632307
22164_8139D8B70,0.23599924,0,1,0.3080522955029017
218438_8143EA580,0.23599708,0,1,0.3077148427632307
11318_800EDF3B0,0.23599666,0,1,0.3324697575524349
4726_80D1D9940,0.23598912,0,2,0.42399287283559756
1665_80526F8E0,0.23596562,0,2,0.3820097129754684
221198_80C8A6220,0.23595856,0,2,0.3792160091559645
235440_80DAC2EE0,0.23592447,0,2,0.3838571902043734
18135_807527FD0,0.23592195,0,2,0.38057731852906984
111326_80EC06C50,0.23590961,0,2,0.40129878357199594
1686_800D3D990,0.23590621,0,2,0.44197437569350817
15643_80BB2C180,0.23588528,0,1,0.3089554397254932
114590_805C0E8F0,0.23587729,0,2,0.4920460013307992
21940_8023DFB40,0.235876,0,1,0.3075322450286877
111433_80599C4F0,0.23586658,0,1,0.3485264976799736
21258_8066A3C40,0.23586626,0,3,0.48737682219622197
1547_800915220,0.23586036,0,3,0.7400738531172036
21142_80C12FA00,0.23585995,0,1,0.3145304799830193
287_806142340,0.235843,0,1,0.7001346884717894
16792_806135230,0.235843,0,1,0.7071808945145424
6129_81329E7F0,0.2358243,0,2,0.3946232782445433
16788_80F8D3C10,0.23581083,0,8,0.455343353373212
147833_811AD3CA0,0.2357892,0,4,0.3903153794799826
3123_80355EA60,0.23578829,0,4,0.39333357196012364
123102_80E1E0E80,0.235786,0,1,0.3077148427632307
116781_806B12EA0,0.23575942,0,1,0.5338593369069848
16418_80D9B4DC0,0.23575114,0,4,0.39621761176355186
28693_8079E7860,0.23575087,0,2,0.3885860592400869
5175_802D7BDA0,0.23574768,0,8,0.5031886281602072
240492_8130B05A0,0.23574764,0,1,0.30880849829408547
116715_810E99A90,0.23574764,0,1,0.30880849829408547
121453_80CD8E510,0.23574467,0,1,0.30874393406201867
13659_805A22CB0,0.23574376,0,1,0.3163478552543994
3881_81165B560,0.23573953,0,5,0.3899238127676388
7_8049F4560,0.23573749,0,2,0.3842064881093434
2824_8028D6DF0,0.23572925,0,4,0.5014318261446482
25981_802CDDF20,0.23572378,0,1,0.36249430330101373
210319_803F75210,0.23572378,0,1,0.36249430330101373
114202_805660A60,0.23572378,0,1,0.36249430330101373
11157_808D36850,0.23570418,0,1,0.3087721058217335
23501_80AA977B0,0.23570405,0,2,0.4186046266296094
220504_8076D7090,0.23568182,0,5,0.5553630324831341
211_807C49A40,0.2356814,0,2,0.4037608782866224
2467_80527A3C0,0.2356797,0,2,0.41668111018723564
217096_8065B3850,0.235668,0,2,0.7038387448999822
513_8031EB890,0.23566556,0,1,0.6477200434931066
25866_8072C80F0,0.23566297,0,1,0.31199857669054704
14814_805870DD0,0.23565854,0,1,0.43332751872642833
221891_80E74BE60,0.23565362,0,1,0.3103216886433009
220_81058B610,0.23565362,0,1,0.3103216886433009
15040_80C2BA140,0.23565362,0,1,0.3103216886433009
131466_810F57F80,0.23565362,0,1,0.3103216886433009
14290_80BB01220,0.23565362,0,1,0.3103216886433009
19535_80D33E960,0.23565362,0,1,0.3103216886433009
29435_80C5531C0,0.23565362,0,1,0.3103216886433009
14766_81225BE90,0.23565362,0,1,0.3103216886433009
221374_81288E110,0.23565362,0,1,0.3103216886433009
236684_80E0FAE60,0.23565362,0,1,0.3103216886433009
13145_809924CA0,0.23565362,0,1,0.3103216886433009
241788_8103FF630,0.23565362,0,1,0.3103216886433009
11056_8006C06B0,0.23563868,0,6,0.42884138849467446
14757_8122A14D0,0.23563474,0,1,0.37320889725187
10_800499100,0.235616,0,3,0.4982052164507835
15916_8137F4A70,0.23561113,0,1,0.3089733233122941
16_8058D2E00,0.23560335,0,1,0.3124895236116511
22732_80A385340,0.23560308,0,1,0.33239845238373295
17222_804273E20,0.23560308,0,1,0.33157800660148934
22205_8041BFB00,0.23560308,0,1,0.33239845238373295
21749_8031AA070,0.23560308,0,1,0.33239845238373295
27288_803BB1EF0,0.23559651,0,1,0.3640883085830948
14_802B7CBB0,0.23559651,0,1,0.3640883085830948
25637_80BFCE320,0.23559603,0,2,0.38569605466220763
24811_805F600C0,0.23559265,0,1,0.3530592688668115
21387_800EF09D0,0.23557478,0,1,0.3075322450286877
1299_811096A80,0.23555978,0,1,0.30830098197065176
3051_802393D80,0.23555407,0,3,0.3472988517067714
24515_8025092A0,0.23554301,0,2,0.4090939992543067
12979_80D4378B0,0.23553221,0,2,0.40680715018035524
15231_801FF9480,0.23552002,0,1,0.3363956410646006
1267_8038B77A0,0.23551257,0,2,0.4025725165723855
224866_80B498960,0.23549204,0,1,0.3075322450286877
16643_8029D4D70,0.23548749,0,2,0.3791157433429847
1_813FF9290,0.23546451,0,2,0.38115283530989963
215897_80D370540,0.23545839,0,3,0.36771520270494146
9417_8037CBA60,0.23545091,0,1,0.33157800660148934
2454_80D5401B0,0.23544364,0,1,0.31178949429931335
16871_8041FACA0,0.23543663,0,1,0.3166794809736838
29814_80C8CC7D0,0.23543312,0,1,0.30871806453620454
13917_813504E80,0.2354301,0,1,0.3103216886433009
231706_80E0321B0,0.23542751,0,2,0.41169317163223157
9665_803B21BC0,0.2354256,0,1,0.5632755380722508
36208_80E122C10,0.23541895,0,2,0.3895126411885008
16031_807D15C70,0.23539902,0,3,0.40992095066050976
1547_800989F70,0.2353957,0,2,0.4118891787550748
19888_809EF58C0,0.23539363,0,1,0.3087001957239557
111631_808FC7990,0.2353929,0,2,0.47606001277246535
5_807EDCB20,0.23539072,0,3,0.47749875336482345
38437_811C14970,0.2353801,0,1,0.31583536225327524
8595_809FD08D0,0.2353801,0,1,0.31583536225327524
10099_8045968E0,0.2353801,0,1,0.31583536225327524
13078_805C417D0,0.2353801,0,1,0.31583536225327524
11474_80FBD0DB0,0.2353801,0,1,0.31583536225327524
28800_80FBEFE90,0.2353801,0,1,0.31583536225327524
10060_80417CDA0,0.2353801,0,1,0.31583536225327524
210292_803F99290,0.2353801,0,1,0.31583536225327524
217096_806AE11C0,0.2353801,0,1,0.31583536225327524
122080_8091E9110,0.2353801,0,1,0.31583536225327524
228321_80B0CC650,0.2353801,0,1,0.31583536225327524
210292_8040C60E0,0.2353801,0,1,0.31583536225327524
29317_81272F640,0.2353801,0,1,0.31583536225327524
17327_812876C70,0.2353801,0,1,0.31583536225327524
29944_80AF14A70,0.2353801,0,1,0.31583536225327524
10099_80471DB40,0.2353801,0,1,0.31583536225327524
123997_80D2D0E00,0.2353801,0,1,0.31583536225327524
122342_813197C20,0.2353801,0,1,0.31583536225327524
214609_807473430,0.2353801,0,1,0.31583536225327524
29685_80DEFCA00,0.23538002,0,1,0.3077148427632307
1244_80089D650,0.23537992,0,2,0.3993740547683472
1467_80041A5A0,0.23536092,0,2,0.4317877640332048
701_800EE3E10,0.2353586,0,3,0.5473731271908145
13667_805D0B760,0.23534997,0,1,0.3089733233122941
28627_8077CE9E0,0.23533879,0,889,0.4761557756392606
29802_810B1B970,0.2353348,0,3,0.34541136018687885
9482_803AD9990,0.23533452,0,5,0.3972245790341229
121987_808292F90,0.23531707,0,2,0.5070689720035048
220_803FE0740,0.23531677,0,3,0.5011979787976919
122151_8136483D0,0.23531038,0,1,0.30880849829408547
28629_803CF00F0,0.23529245,0,3,0.49311020113416343
117070_80653F820,0.23528409,0,2,0.42871416277840946
147725_812EAB130,0.23528409,0,2,0.42871416277840946
16927_806C93A70,0.23527902,0,1,0.39383973569510344
20_80006AC70,0.23527855,0,1,0.39982407391573865
17863_808FE8EC0,0.2352692,0,5,0.533530822302514
3123_80221F2E0,0.23526147,0,1,0.5499605860590748
114590_805D06280,0.2352555,0,3,0.5870409591642098
14629_805C9E720,0.23525538,0,1,0.3188500468076099
40187_8113EF1D0,0.23525357,0,1,0.3117690891877694
1501_801EE1F60,0.2352441,0,3,0.5175776460006739
11030_8079F8860,0.23522982,0,1,0.35172456803316365
13154_804D04CC0,0.23522913,0,2,0.6742196362938343
33355_80E995D70,0.23522162,0,2,0.3942058566637928
10656_80415B7F0,0.23518962,0,1,0.3295301307632538
224449_80BAF4AB0,0.23517896,0,1496,0.5907343231632852
21918_801B184F0,0.23517776,0,1,0.33541908816348026
4503_804D1F530,0.23517738,0,3,0.4873145231773052
22_800A22290,0.23515908,0,1,0.36132458674051227
1601_800D0A720,0.23515765,0,3,0.4331595683451558
17732_80BD9F500,0.23515713,0,2,0.41235416426140825
19705_804A07230,0.23515566,0,4,0.6143981425992816
11974_80C7AE3D0,0.23513849,0,2,0.3873037650069488
19593_8077D1F10,0.23513596,0,2,0.40546318071490595
15_803F2BE30,0.23512697,0,107,0.56155612656922
20727_8091F8960,0.23511566,0,1,0.3905245329951729
20727_80E734690,0.23510332,0,1,0.312778478101275
1547_8008B7DE0,0.23510332,0,1,0.312778478101275
6030_806CC3450,0.2350993,0,1,0.3077148427632307
16418_803279210,0.2350918,0,2,0.3788926980598016
11_801028B90,0.23508844,0,2,0.44843919685236044
16787_80616D590,0.23508148,0,1,0.3087001957239557
9417_8114B9830,0.23506889,0,1,0.3080522955029017
21381_8036121C0,0.23505971,0,4,0.5656160518739553
13667_80549BCB0,0.23505695,0,3,0.42376661149910994
2439_804996960,0.23505218,0,3,0.34910071290601463
3149_80848FF30,0.23505081,0,1,0.307278176801591
218050_8093A8AF0,0.23504989,0,2,0.37864050373757785
795_8028BCF90,0.2350397,0,5,0.5195607941353811
22_802584FB0,0.2350351,0,2,0.3823017065647869
13265_80158C160,0.23503178,0,1,0.30830098197065176
22806_81320B050,0.23502816,0,1,0.3080522955029017
21749_807B389B0,0.23502594,0,1,0.3074606236827407
228597_80C800850,0.23501514,0,1,0.3075322450286877
12461_81276D2D0,0.2350103,0,1,0.307278176801591
18097_803935F50,0.23499739,0,3,0.46754413434481285
27103_80B551550,0.23498452,0,2,0.4012413958112653
21_8038501D0,0.23497151,0,1,0.3621777773780951
219143_80701E010,0.2349407,0,1,0.3081311323749535
114590_805F2E160,0.23493561,0,1,0.307797797635323
5394_80F3295B0,0.234906,0,1,0.30830098197065176
27564_80D9AA360,0.23490424,0,1,0.3085170132817765
140488_81156F240,0.2348938,0,4,0.3430649670220558
410_8017387D0,0.23488449,0,1,0.33157800660148934
28726_8068E7200,0.2348717,0,2,0.402828374094994
14077_807EB9210,0.2348651,0,1,0.5825692793858701
12719_80B8643D0,0.23486507,0,2,0.38069168502360556
20_800066610,0.23486394,0,2,0.5865958456449961
1547_801ADC270,0.23486239,0,1,0.3488964974636279
11974_800E81FE0,0.23486097,0,3,0.39471585936551246
3229_80135C8D0,0.23485005,0,1,0.3128252188583478
1411_80623B140,0.23484308,0,3,0.40452026042751443
13345_801D86A50,0.23484176,0,2,0.4327276867150729
245580_8123C05D0,0.23482707,0,1,0.30954394203803354
1686_80DAB8D00,0.23482367,0,1,0.32890888744347757
112637_8054CB650,0.23481868,0,1,0.3205206112141622
14254_80576A700,0.23481101,0,1,0.31413135319076135
29715_80381C210,0.23480543,0,3,0.5871220489174613
27103_80735A900,0.2347844,0,2,0.3814985518534217
18067_80306ECF0,0.23477641,0,1,0.31728269613976945
11471_8009D7BA0,0.23477246,0,1496,0.5519752334373198
14_80E815A90,0.234767,0,2,0.40748985522281256
233580_80CD83BD0,0.234767,0,2,0.40748985522281256
28694_8060F7BE0,0.23476122,0,5,0.5058034398671181
15980_806581F60,0.23475438,0,2,0.41219008348617553
4600_8141E0320,0.23475045,0,1,0.3074606236827407
16224_802860E80,0.23474588,0,2,0.38031939007219634
112497_80568C9D0,0.2347401,0,1,0.314090730757576
14663_8044D0910,0.23473941,0,1,0.3654841216638115
1665_8083089E0,0.23472916,0,1,0.3103216886433009
1686_800D3F730,0.23472753,0,1,0.4207112619805126
3335_802F14B00,0.23472491,0,1,0.31402328058908424
14766_805F6A570,0.23471549,0,2,0.6824030177036631
1588_8011C2440,0.23471108,0,2,0.4045652350998691
17769_802E9F670,0.23470171,0,2,0.7171143938191772
137335_80E045B10,0.23469627,0,4,0.41335020368867426
11904_800C99B30,0.23468705,0,1496,0.5261199429024082
21381_802F76B60,0.23465785,0,4,0.5059183493586487
112497_804F090C0,0.23464152,0,2,0.4858061161112827
7_805440830,0.23463981,0,3,0.5285669322782157
9608_8049D4CA0,0.23463824,0,1,0.3077148427632307
1501_802A2E400,0.23463535,0,1,0.49953481568353875
71_805D0D440,0.23462984,0,4,0.44589633782969423
15_803A1C440,0.23462737,0,1,0.5817377974095682
29404_80759A1B0,0.23462139,0,2,0.38181849730756107
20_8021485D0,0.23461016,0,1,0.30871806453620454
21749_803CFDB90,0.23460306,0,3,0.4329077428037237
111812_80B1A06C0,0.23459205,0,1,0.7224371700518968
13078_804F0BFF0,0.23459205,0,1,0.7243949825262097
115803_8122593E0,0.23459205,0,1,0.7243949825262097
16354_8028CA730,0.23458381,0,3,0.4457388683263928
28627_80395A220,0.23455971,0,1,0.3083859058552269
134140_812AA2E30,0.23455268,0,1,0.30871806453620454
124371_80E6ABCD0,0.23454498,0,1,0.3103216886433009
37964_811CDCD80,0.23454498,0,1,0.3103216886433009
112212_807A432E0,0.23454498,0,1,0.3103216886433009
47901_8132E37B0,0.23454498,0,1,0.3103216886433009
14_80306DB20,0.23453091,0,1,0.3114479476834045
232335_814678130,0.23453087,0,1,0.307278176801591
29279_805106110,0.23452874,0,3,0.4323034731829363
11405_80149D030,0.23452407,0,3,0.4362984984115924
13145_80AAC1FE0,0.23451497,0,6,0.5278327538281156
13078_8058F3990,0.23449025,0,1,0.3087240945102567
20_80092CE70,0.23448908,0,2,0.4759040088451033
513_809C00B00,0.23448503,0,3,0.3970361386258937
21611_8010499A0,0.23448482,0,2,0.4011227813389485
1853_800BD5680,0.23447868,0,1,0.45312415742673195
23146_801E68090,0.2344629,0,1,0.4452843123918265
1362_800750030,0.23445085,0,3,0.44104929981681906
213005_80584B3B0,0.23442951,0,1,0.4667012805420346
215064_807648140,0.23441334,0,3,0.3725180553655339
222363_80A828CC0,0.23440716,0,1,0.3193242281593935
17321_805320DA0,0.23440246,0,1,0.32114794170682515
8623_809B72790,0.23439755,0,1,0.3077148427632307
241213_8116D05C0,0.23437928,0,1,0.3093098474056463
9608_8136F9970,0.23436616,0,6,0.5419026721728081
116843_806A7B6F0,0.23435421,0,2,0.3976168443183402
112637_804B625E0,0.23433888,0,1,0.4130551967381985
21550_80E0491F0,0.23433746,0,1,0.3075322450286877
9571_8038CCCE0,0.23433746,0,1,0.3075322450286877
115415_8134ABBB0,0.23433426,0,1,0.3126954779746265
12735_80BDB5E30,0.23432282,0,1,0.3074606236827407
12_8017F72A0,0.23431149,0,2,0.41882748438699896
22806_802704940,0.23430528,0,2,0.4203617306627257
10060_803B7B5C0,0.23429976,0,1,0.6302833797992232
12_804A87E60,0.23429191,0,3,0.5594657489312167
16678_806105180,0.23426285,0,5,0.6543273458414698
21922_80BBBD530,0.23426227,0,1,0.3080462786503735
122405_80863BB90,0.23424909,0,3,0.39986484992925486
10_80426E450,0.23424287,0,1,0.31547334733050764
17753_80D1F9FD0,0.23423928,0,1,0.38124144770999735
223030_80BAD7840,0.23421822,0,1,0.3090638318439348
23525_80D3CE0D0,0.23421822,0,1,0.3090638318439348
218885_813460C60,0.23421822,0,1,0.3090638318439348
13345_8014D42C0,0.23421822,0,1,0.3090638318439348
112212_80C1BF600,0.23421822,0,1,0.3090638318439348
12004_801089360,0.23421822,0,1,0.3090638318439348
12797_813115990,0.23421822,0,1,0.3090638318439348
218202_80EBFC250,0.23421822,0,1,0.3090638318439348
29794_8093DC830,0.23421822,0,1,0.3090638318439348
117733_80FC1F110,0.23421822,0,1,0.3090638318439348
23402_80175BDD0,0.23421822,0,1,0.3090638318439348
140020_811A700D0,0.23421822,0,1,0.3090638318439348
17222_813543210,0.23421822,0,1,0.3090638318439348
14277_80D437040,0.23421822,0,1,0.3090638318439348
23885_80971F450,0.23421822,0,1,0.3090638318439348
138010_812C2D2F0,0.23421822,0,1,0.3090638318439348
111491_80BE06140,0.23421822,0,1,0.3090638318439348
15863_80DCFC330,0.23421822,0,1,0.3090638318439348
16388_806009510,0.23421822,0,1,0.3090638318439348
18428_81166CEB0,0.23421822,0,1,0.3090638318439348
29404_80D4FF040,0.23421822,0,1,0.3090638318439348
1362_800A84880,0.23421822,0,1,0.3090638318439348
22736_801261C60,0.23421822,0,1,0.3090638318439348
14657_80E4385D0,0.23421822,0,1,0.3090638318439348
3123_8027F2120,0.23421822,0,1,0.3090638318439348
1522_80F79D190,0.23421822,0,1,0.3090638318439348
14233_80BB44C70,0.23421806,0,889,0.6714868796469199
18067_80E45CEA0,0.23421644,0,2,0.38936964014694997
22_801014360,0.23421636,0,5,0.415707993257583
1588_810B5A100,0.23420268,0,1,0.3482854878655065
10813_80462D300,0.23420206,0,1,0.7750219700079535
1024_803C08210,0.23419206,0,1,0.30874393406201867
4523_80D73F950,0.2341917,0,2,0.37841581877416214
222773_8084A8630,0.23417854,0,2,0.3826193827098611
250511_812780040,0.23417522,0,5,0.4217330797767595
3335_812301690,0.23417036,0,3,0.39713987212002455
117733_80D1E4B40,0.23416285,0,2,0.3923565242591642
3655_80203BA80,0.23415345,0,1,0.3074606236827407
8623_80531BBD0,0.23415007,0,3,0.49773647663552706
1729_808D04AE0,0.23414639,0,2,0.3806574901276509
22828_80A16CB60,0.23414382,0,1,0.3077148427632307
27684_806DF1D20,0.23414382,0,1,0.3077148427632307
114674_80A3C5AC0,0.23414382,0,1,0.3077148427632307
215064_808D0EED0,0.23414382,0,1,0.3077148427632307
15730_8022AD1B0,0.23414382,0,1,0.3077148427632307
134140_8113E3820,0.23414382,0,1,0.3077148427632307
1244_80D57EA10,0.23414382,0,1,0.3077148427632307
3335_8029872B0,0.23414382,0,1,0.3077148427632307
26818_8078EAA50,0.23414302,0,2,0.5497503293008161
18196_803114670,0.23414035,0,1,0.3180323609181015
10581_8046E6E80,0.23413454,0,1,0.3450449052593913
6276_80D00F4C0,0.23413298,0,1,0.3074606236827407
3242_809F95D10,0.23412961,0,3,0.4044635935135949
18951_8110E16B0,0.23409879,0,1,0.3089554397254932
112064_804B54090,0.23409204,0,1,0.3124895236116511
10_800A558D0,0.23408915,0,1,0.3196951871717868
1729_801259000,0.23407637,0,1,0.366713935216052
15010_801E2EC90,0.23407397,0,4,0.4020769245241441
3123_801B32F20,0.23406175,0,12,0.4092911070275346
3_803670120,0.23406117,0,2,0.39859579155098107
16431_8067F4C70,0.23406099,0,3,0.39768597706704206
25749_80B2250B0,0.23405777,0,1,0.3089733233122941
15_8044C1CD0,0.23405223,0,1,0.5658035692081874
13029_8055CBB70,0.2340466,0,1,0.6581117835935796
112064_805E28910,0.2340466,0,1,0.6581117835935796
4766_80DB639B0,0.23404077,0,1,0.3077148427632307
3_8047A5590,0.23403949,0,1,0.43155933778991035
13516_801D35420,0.23402227,0,2,0.4193380284463723
1522_8025FB7B0,0.23402068,0,3,0.41754719703859433
16649_80619BE80,0.23402064,0,1,0.4404029873607381
15_80383F8E0,0.2340189,0,2,0.4716345814040389
16678_806342420,0.23401232,0,1,0.5662718149264003
3229_809D621E0,0.23400451,0,3,0.41881857688715507
219562_8071BBB10,0.23400429,0,1,0.3089554397254932
1674_801D0CAC0,0.23399313,0,2,0.40009579402277096
14325_80683C6B0,0.23399165,0,1,0.3881378776332195
11852_8016777F0,0.2339895,0,4,0.4464766826567996
12797_808A73630,0.23397441,0,1,0.3126954779746265
113798_80DCBD610,0.23397441,0,1,0.3126954779746265
215266_80D1501C0,0.23397441,0,1,0.3126954779746265
13554_81188A690,0.23397441,0,1,0.3126954779746265
117999_80D561ED0,0.23397441,0,1,0.3126954779746265
1686_802088700,0.23397441,0,1,0.3126954779746265
147042_8131C8A00,0.23397441,0,1,0.3126954779746265
17748_811370B30,0.23397441,0,1,0.3126954779746265
1244_801B4EDE0,0.23397441,0,1,0.3126954779746265
21940_80A0F2600,0.23397441,0,1,0.3126954779746265
23_8003A9970,0.23397441,0,1,0.3126954779746265
15231_811DCCC80,0.23397441,0,1,0.3126954779746265
4503_813588830,0.23397441,0,1,0.3126954779746265
5466_80C12EDD0,0.23397441,0,1,0.3138751184266906
220_800EB5090,0.23396829,0,1,0.31773855272806606
10_8005D1DC0,0.2339681,0,1,0.3124895236116511
13265_8013276D0,0.233961,0,1,0.31948652094365004
112497_804CFA0B0,0.23395996,0,3,0.48410716651363533
1267_8038AFA10,0.23394816,0,1,0.3117690891877694
1411_80369BFC0,0.23394816,0,1,0.3117690891877694
701_80363DA50,0.23394816,0,1,0.3117690891877694
213704_80755D860,0.23394816,0,1,0.3117690891877694
22_81286A6B0,0.23394816,0,1,0.3117690891877694
120627_813AE7E80,0.23394816,0,1,0.3117690891877694
211050_80DF1A100,0.23394816,0,1,0.3117690891877694
17327_80D4F4980,0.23394816,0,1,0.3117690891877694
24515_803245B90,0.23394816,0,1,0.3117690891877694
33426_80D04FF30,0.23394816,0,1,0.3117690891877694
123773_80F41B4E0,0.23394816,0,1,0.3117690891877694
228321_8109C6DD0,0.23394445,0,1,0.32335008451632485
15747_806B82920,0.2339395,0,1,0.31899951452032493
21381_8035B9850,0.2339386,0,1,0.34518097258782243
287_8063BEB70,0.23392977,0,1,0.5611800604545623
18511_805EF8CB0,0.2339288,0,3,0.5215712813436414
24850_801FD8260,0.23392786,0,1,0.5686558832852691
1362_8006BBB50,0.2339253,0,1,0.40011442070411574
14077_807D3C730,0.23391768,0,1,0.3269847311014631
23525_80A2A9560,0.23390858,0,2,0.3933312106648609
